,T,TM,Tm,H,PP,VV,V,VM,PM2.5
56,25,32,17.8,34,0,6.9,3.9,5.4,187.5
57,25.2,32.7,18.2,28,0,6.9,5.9,11.1,130.16666666666666
58,,,,,,,,,68.91666666666667
59,25.2,33.2,18.2,26,0,6.9,5.2,7.6,123.125
60,25.5,32.5,18.3,25,0,6.9,4.8,7.6,120.91666666666667
61,25.7,33.2,17.5,21,0,6.9,2.4,5.4,153.625
62,,,,,,,,,119.41666666666667
63,,,,,,,,,110.75
64,,,,,,,,,94.29166666666667
65,25.5,34.6,16.5,29,0,7.7,7,11.1,130.33333333333334
66,25.4,33.5,18.5,25,0,6.9,5.7,9.4,110.70833333333333
67,26.2,33.3,17.8,27,0,6.9,5.9,7.6,138.5
68,,,,,,,,,39.291666666666664
69,,,,,,,,,44.916666666666664
70,,,,,,,,,52.375
71,25.8,32.5,20.1,57,0,6.9,4.1,7.6,75.75
72,26.5,31.6,22.4,50,0,6.9,4.8,11.1,146.54166666666666
73,25.8,32.1,21.6,60,0,6.9,4.6,11.1,116.625
74,,,,,,,,,163.0
75,,,,,,,,,162.08333333333334
76,,,,,,,,,63.458333333333336
77,25.6,31,19.6,39,0,7.4,2.8,48.2,80.04166666666667
78,26.7,33.8,19.5,37,0,6.9,2.4,5.4,100.04166666666667
79,27.4,33.7,21.4,44,0,6.9,2.2,3.5,109.45833333333333
80,,,,,,,,,103.08333333333333
81,,,,,,,,,208.83333333333334
82,,,,,,,,,74.66666666666667
83,27.3,33.4,21.7,43,0,7.7,3.9,7.6,110.16666666666667
84,27.1,34.1,20.8,34,0,6.9,3.3,7.6,108.20833333333333
85,27.4,34.4,21.5,42,0,6.9,3.3,5.4,103.83333333333333
86,,,,,,,,,111.5
87,,,,,,,,,98.58333333333333
88,,,,,,,,,60.416666666666664
89,25.9,34.8,21.1,60,3.3,6.3,4.1,9.4,74.29166666666667
90,27.6,33.2,21.2,54,0,6.9,2,7.6,101.79166666666667
91,24.7,33.5,20.6,72,0,6.9,2.2,5.4,106.16666666666667
92,26.1,33.1,19.8,55,13.72,7.4,0.7,3.5,89.875
93,,,,,,,,,71.95833333333333
94,,,,,,,,,76.41666666666667
95,,,,,,,,,113.375
96,26.7,33.5,21.6,51,0,8.5,3.1,5.4,48.208333333333336
97,26.4,32.6,21,47,0,6.9,5,7.6,47.041666666666664
98,26.2,32.7,21,49,0,6.9,5.2,7.6,67.79166666666667
99,,,,,,,,,65.45833333333333
100,,,,,,,,,77.75
101,,,,,,,,,114.45833333333333
102,27.6,33.5,21.7,51,0,6.9,5.9,11.1,56.666666666666664
103,28.3,34,23.1,50,0,6.9,5.2,7.6,79.0
104,28.2,34.6,23.9,52,0,7.7,3.9,7.6,123.58333333333333
105,,,,,,,,,97.875
106,,,,,,,,,77.33333333333333
107,,,,,,,,,48.333333333333336
108,27.9,34.8,23.9,63,1.02,6.9,2,7.6,80.29166666666667
109,25.5,34,22.8,63,17.02,6.9,1.1,5.4,137.875
110,28.2,34.8,22.2,51,0,7.4,1.1,3.5,87.875
111,,,,,,,,,61.875
112,,,,,,,,,82.125
113,,,,,,,,,139.91666666666666
114,26.6,34,22.2,63,3.81,6.9,3.1,7.6,121.20833333333333
115,27.2,34.4,22.8,62,0.51,6.9,4.1,5.4,97.04166666666667
116,28.3,34.7,22,51,0.51,9.2,2.8,9.4,92.08333333333333
117,,,,,,,,,105.75
118,,,,,,,,,119.16666666666667
119,,,,,,,,,121.45833333333333
120,26.9,35.2,21.4,64,5.59,6.3,5,11.1,130.625
121,26.5,33,23.3,73,0,7.7,4.8,9.4,90.5
122,25.9,34,20,72,0.76,6.9,3,9.4,55.416666666666664
123,,,,,,,,,79.29166666666667
124,,,,,,,,,81.875
125,,,,,,,,,73.20833333333333
126,27.8,33.5,23.4,57,0,6.9,3.9,7.6,108.33333333333333
127,25.9,33.5,22.8,70,0,6.9,3.7,9.4,198.875
128,27.2,32.8,21.8,59,0,6.9,4.1,9.4,120.70833333333333
129,,,,,,,,,117.375
130,,,,,,,,,86.83333333333333
131,,,,,,,,,88.625
132,24.9,32,21.5,74,0,7.4,1.1,37,60.541666666666664
133,23.8,32,21,78,17.78,6.9,1.9,5.4,79.0
134,24.8,31.4,20.6,63,16.51,6.3,0.9,3.5,133.70833333333334
135,,,,,,,,,87.08333333333333
136,,,,,,,,,107.91666666666667
137,,,,,,,,,76.625
138,25.9,31.2,21.4,66,-,6.9,6.1,11.1,53.25
139,25.2,32.4,20.5,65,8.64,6.9,2.6,9.4,65.16666666666667
140,24.1,32.4,21.5,77,0,6.3,3.1,11.1,83.58333333333333
141,,,,,,,,,86.91666666666667
142,,,,,,,,,65.16666666666667
143,,,,,,,,,44.291666666666664
144,23.5,32,21.4,89,33.02,6.3,4.1,7.6,40.666666666666664
145,25,29.8,21.1,78,3.05,5.5,2.4,5.4,48.125
146,26,30.8,22.2,71,0,6.9,2.2,5.4,103.16666666666667
147,,,,,,,,,119.70833333333333
148,,,,,,,,,124.25
149,,,,,,,,,143.04166666666666
150,25.6,29.7,20.9,77,10.41,7.7,6.7,9.4,143.375
151,24.4,30.3,21.8,83,0,6.6,3.5,5.4,44.791666666666664
152,23.8,31,20.9,81,1.52,5.5,3.9,7.6,71.95833333333333
153,23.7,29.8,20.8,83,1.78,6.9,6.5,7.6,17.5
154,,,,,,,,,87.08333333333333
155,,,,,,,,,84.04166666666667
156,,,,,,,,,85.54166666666667
157,23.9,30.1,21.7,79,0,6.9,12,14.8,101.0
158,23.3,29,21.2,83,0,6.3,11.9,16.5,76.20833333333333
159,22,25.8,20.7,86,3.81,6.6,12.8,14.8,84.33333333333333
160,,,,,,,,,84.20833333333333
161,,,,,,,,,83.375
162,,,,,,,,,55.958333333333336
163,24.1,28.3,20.8,77,4.06,6.3,11.3,14.8,48.833333333333336
164,23.2,27.9,21,84,4.06,6.3,7.8,11.1,64.45833333333333
165,23.8,29.6,20.5,77,16,6.9,6.5,9.4,80.54166666666667
166,,,,,,,,,58.083333333333336
167,,,,,,,,,49.958333333333336
168,,,,,,,,,101.70833333333333
169,23.8,28.9,20.1,74,0,6.9,12.8,14.8,65.41666666666667
170,23.4,29.1,20.7,78,0,6.9,12.6,14.8,54.666666666666664
171,23.5,28,20.9,79,0,6.9,9.1,11.1,78.54166666666667
172,,,,,,,,,73.0
173,,,,,,,,,58.625
174,,,,,,,,,61.5
175,23.5,27.8,20.1,77,0,6.9,8.3,11.1,49.125
176,23.1,28.1,20.2,75,0,6.9,11.9,16.5,65.875
177,21.9,28,20.1,86,5.08,6.9,10,14.8,72.41666666666667
178,,,,,,,,,71.29166666666667
179,,,,,,,,,74.375
180,,,,,,,,,107.16666666666667
181,24.2,29.5,20.6,75,0,6.9,9.4,14.8,184.66666666666666
182,24.8,29.4,20.9,68,-,6.9,10.9,14.8,113.33333333333333
183,24.4,30.2,20.7,68,0.51,6.9,8.1,11.1,146.20833333333334
184,,,,,,,,,65.375
185,,,,,,,,,111.04166666666667
186,,,,,,,,,111.125
187,22.9,26.3,20.5,82,0,6.9,11.3,16.5,112.29166666666667
188,22.4,26.4,20.3,86,0,8,6.7,9.4,60.625
189,22.8,26.4,20.7,85,1.02,6.9,8.7,14.8,71.0
190,,,,,,,,,57.041666666666664
191,,,,,,,,,67.41666666666667
192,,,,,,,,,132.70833333333334
193,22.2,27.4,20.5,86,0,7.7,10.9,14.8,153.41666666666666
194,22.4,26.5,20.3,86,4.57,6.9,8.5,11.1,134.95833333333334
195,23.6,27.2,20.4,74,1.78,6.9,10,13,81.125
196,,,,,,,,,197.66666666666666
197,,,,,,,,,160.75
198,,,,,,,,,29.125
199,23,28.6,21,79,0,6.9,14.8,25.9,52.25
200,23,27,20.4,77,0,6.9,14.6,22.2,160.375
201,22.7,26.9,20.3,83,0,8.5,14.8,18.3,99.375
202,,,,,,,,,123.875
203,,,,,,,,,131.41666666666666
204,,,,,,,,,53.875
205,23.3,28.2,20.2,82,1.02,6.9,9.1,14.8,31.458333333333332
206,23.7,28.8,20.6,79,0,6.9,8.9,11.1,47.375
207,23.3,27.3,20.5,76,0,6.9,10.9,16.5,38.166666666666664
208,,,,,,,,,42.541666666666664
209,,,,,,,,,35.791666666666664
210,,,,,,,,,43.458333333333336
211,23.1,28.3,20.3,81,4.83,6.9,10,22.2,35.958333333333336
212,21.9,27.2,19.4,85,5.33,5.5,8.7,18.3,25.083333333333332
213,23.6,28,18.7,77,14.99,6.9,9.6,22.2,45.833333333333336
214,23.3,28.6,20.8,76,0,6.9,8.5,16.5,33.708333333333336
215,,,,,,,,,31.875
216,,,,,,,,,69.79166666666667
217,,,,,,,,,62.916666666666664
218,21.9,27.7,19.7,84,11.43,7.4,11.1,14.8,26.416666666666668
219,22,25.4,20,88,3.56,5.5,8.3,13,30.666666666666668
220,23.4,27.6,20.2,76,8.89,6.3,9.8,18.3,29.958333333333332
221,,,,,,,,,47.458333333333336
222,,,,,,,,,48.916666666666664
223,,,,,,,,,37.125
224,21.7,24.6,19.4,85,3.3,7.4,10.2,18.3,23.875
225,21.9,25,19.6,88,1.02,5.5,10,22.2,22.333333333333332
226,22.2,25.7,20.1,87,6.35,5.5,7.6,11.1,25.083333333333332
227,,,,,,,,,32.958333333333336
228,,,,,,,,,31.5
229,,,,,,,,,56.375
230,23.3,27.4,20.7,77,0,6.3,13.1,18.3,66.79166666666667
231,22.8,27.3,20.2,78,0,6.9,11.7,18.3,64.875
232,23.3,27.4,19.7,72,0,6.9,10.6,18.3,47.583333333333336
233,,,,,,,,,48.291666666666664
234,,,,,,,,,51.375
235,,,,,,,,,43.375
236,23.7,27.8,19.8,75,41.66,6.9,8.3,11.1,33.5
237,22.4,28.5,20,83,0,6.3,6.3,14.8,43.041666666666664
238,21.9,28.3,19.5,86,8.38,6.3,6.7,11.1,38.416666666666664
239,,,,,,,,,29.166666666666668
240,,,,,,,,,37.375
241,,,,,,,,,60.0
242,23.3,28.8,20.3,78,19.81,7.4,6.9,11.1,49.291666666666664
243,23.7,28.3,20,73,0,6.9,6.5,11.1,19.541666666666668
244,23.8,28.2,20.3,71,0.25,6.6,7.8,9.4,22.833333333333332
245,24.7,29.3,19.7,61,0,6.9,6.5,9.4,24.291666666666668
246,,,,,,,,,25.291666666666668
247,,,,,,,,,23.416666666666668
248,,,,,,,,,47.041666666666664
249,24.4,29.2,20.3,63,0,6.9,8.7,14.8,74.66666666666667
250,24.3,29.1,20.1,66,0,6.9,7.8,14.8,41.875
251,25.7,30,20.5,59,0,6.9,5.4,9.4,50.583333333333336
252,,,,,,,,,44.416666666666664
253,,,,,,,,,66.45833333333333
254,,,,,,,,,62.916666666666664
255,25,31.6,22.3,72,0.25,6.9,1.9,3.5,58.125
256,24.8,30.3,20.4,69,33.02,6.3,1.5,5.4,57.291666666666664
257,23.9,31.7,20.1,77,16,6.6,2,5.4,38.25
258,,,,,,,,,57.208333333333336
259,-,-,-,-,-,-,-,-,50.333333333333336
260,,,,,,,,,50.416666666666664
261,,,,,,,,,47.416666666666664
262,22.7,29.1,19.5,81,13.97,6.3,5,9.4,56.916666666666664
263,23.5,28.4,20,71,0,6.3,5.7,9.4,54.625
264,23.9,28.2,18.4,64,0,6.9,4.8,7.6,42.875
265,,,,,,,,,41.208333333333336
266,-,-,-,-,-,-,-,-,42.375
267,,,,,,,,,45.958333333333336
268,,,,,,,,,52.25
269,23.7,30.3,19.9,79,32.26,5.5,0.4,3.5,43.333333333333336
270,25.1,29.2,21.3,72,1.27,6.9,3.5,5.4,41.875
271,25.3,29.9,21.4,69,4.32,6.9,3.7,7.6,44.416666666666664
272,,,,,,,,,49.5
273,25.5,30.9,21.6,73,0.25,6.9,5.2,7.6,41.958333333333336
274,24.9,30.3,21.3,71,0,6.9,4.6,5.4,0.0
275,24.1,30.4,21.6,75,0.25,6.9,5,7.6,0.0
276,,,,,,,,,0.0
277,,,,,,,,,0.0
278,,,,,,,,,0.0
279,24.2,28.2,20.2,70,7.87,6.9,3.3,5.4,45.75
280,24.1,29.5,20.8,72,0,6.3,3.1,3.5,70.70833333333333
281,24.3,29.5,20.6,65,4.32,6.3,1.5,5.4,51.791666666666664
282,,,,,,,,,66.75
283,,,,,,,,,39.958333333333336
284,,,,,,,,,0.0
285,25,31.5,20.4,67,0,6.3,2.4,5.4,0.0
286,24,30.3,21,75,1.02,6.9,3.1,3.5,11.583333333333334
287,23.4,29.8,20.1,82,3.81,6.9,0.4,3.5,13.0
288,,,,,,,,,7.875
289,,,,,,,,,33.541666666666664
290,,,,,,,,,151.04166666666666
291,24.4,28.7,20.2,71,1.02,7.4,3.1,3.5,156.25
292,23.8,29.3,19.7,58,0,6.9,3.1,3.5,156.0
293,23.7,29,19.7,60,0,6.3,5,7.6,151.79166666666666
294,,,,,,,,,181.54166666666666
295,,,,,,,,,219.95833333333334
296,,,,,,,,,231.0
297,23.9,30.2,18.2,58,0,5.5,5,9.4,252.625
298,23.8,29.3,18.7,58,0,6.6,4.6,7.6,119.41666666666667
299,23.4,29.5,18.2,51,0,6.9,3.7,7.6,126.0
300,,,,,,,,,172.66666666666666
301,,,,,,,,,207.04166666666666
302,,,,,,,,,230.25
303,24.8,30.1,19.7,64,0,6.3,4.6,11.1,232.33333333333334
304,24.3,30.4,20,65,0,6.3,3.9,5.4,215.54166666666666
305,22.9,30.3,19.8,78,0,6.6,5.2,5.4,239.41666666666666
306,22.8,27.7,20.4,81,0.51,5.5,8.1,14.8,196.54166666666666
307,,,,,,,,,206.75
308,,,,,,,,,235.58333333333334
309,,,,,,,,,199.875
310,23.3,30,18,48,0,6.9,3.9,7.6,232.54166666666666
311,22.2,29.6,16,60,0,6.9,3,5.4,185.5
312,23.4,29.2,17.5,58,0,6.3,5,7.6,282.1666666666667
313,,,,,,,,,226.45833333333334
314,,,,,,,,,222.125
315,,,,,,,,,317.0
316,22.4,30,16.2,44,0,6.9,1.3,3.5,257.6666666666667
317,23,30.5,14.8,44,0,6.9,0.9,3.5,166.875
318,23.3,31,16.5,68,0,6.9,5.4,7.6,135.16666666666666
319,,,,,,,,,133.125
320,-,-,-,-,-,-,-,-,175.04166666666666
321,-,-,-,-,-,-,-,-,189.66666666666666
322,-,-,-,-,-,-,-,-,211.45833333333334
323,-,-,-,-,-,-,-,-,215.5
324,-,-,-,-,-,-,-,-,223.375
325,-,-,-,-,-,-,-,-,187.54166666666666
326,,,,,,,,,198.45833333333334
327,,,,,,,,,156.70833333333334
328,22.6,27.6,19.2,70,0,4.8,3.1,5.4,135.58333333333334
329,22.2,28.8,18,66,0,5.6,3.3,5.4,152.04166666666666
330,20.8,29,16.3,64,0,5,5,9.4,141.41666666666666
331,,,,,,,,,248.625
332,,,,,,,,,162.54166666666666
333,,,,,,,,,0.0
334,21.8,29.5,18,62,0,6.3,4.3,9.4,46.708333333333336
335,21.8,28.3,15.6,56,0,6.9,4.6,7.6,91.75
336,21.7,28.8,18.2,67,0,6.9,3.3,7.6,99.91666666666667
337,,,,,,,,,113.375
338,,,,,,,,,166.70833333333334
339,,,,,,,,,146.66666666666666
340,22.3,29.3,18.3,70,0,6.8,3.1,5.4,119.70833333333333
341,22.5,28.2,17.7,72,0,6.8,4.8,7.6,110.875
342,23.1,29.4,17.6,62,0,5.8,5.2,11.1,200.33333333333334
343,,,,,,,,,161.79166666666666
344,,,,,,,,,169.04166666666666
345,,,,,,,,,216.79166666666666
346,22.3,29.9,18.7,70,0,6,3,9.4,203.58333333333334
347,22.8,28.9,17.7,59,0,5.3,3.1,5.4,25.083333333333332
348,21.8,28.9,17.7,59,0,6.3,7,9.4,57.083333333333336
349,,,,,,,,,152.83333333333334
350,,,,,,,,,177.70833333333334
351,,,,,,,,,239.04166666666666
352,21.6,28.5,16,67,0,6.3,3.1,11.1,349.2916666666667
353,22.2,27.7,17.7,63,0,6.9,2.8,7.6,188.04166666666666
354,22.7,28.4,18.1,65,0,6.3,3.9,5.4,310.25
355,,,,,,,,,375.7916666666667
356,,,,,,,,,297.7916666666667
357,,,,,,,,,441.7916666666667
358,23.4,29.1,18.4,62,0,6,5.7,9.4,204.375
359,23.8,30.2,17.7,56,0,5.5,6.1,9.4,223.25
360,24,31.4,19,63,0,6.3,5.4,7.6,248.95833333333334
361,,,,,,,,,441.4166666666667
362,,,,,,,,,237.79166666666666
363,,,,,,,,,334.875
364,20.9,25.8,16.6,51,0,6.6,3.9,11.1,
